Drinks,Tall_Price-2001,Grande_Price-2001,Venti_Price-2001,Tall_Price-2023,Grande_Price-2023,Venti_Price-2023,,,,,,,,,,,,,,,,,,,,,,,,,
Caffe Latte,$2.30,$2.85,$3.15,$3.45,$4.25,$4.75,,,,,,,,,,,,,,,,,,,,,,,,,
Cappuccino,$2.30,$2.85,$3.15,$3.45,$4.25,$4.75,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel Macchiato,$2.65,$3.20,$3.50,$4.45,$4.95,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,
Caffe Mocha,$2.50,$3.05,$3.35,$4.15,$4.65,$4.95,,,,,,,,,,,,,,,,,,,,,,,,,
White Chocolate Mocha,$3.00,$3.55,$3.85,$4.65,$4.95,$5.45,,,,,,,,,,,,,,,,,,,,,,,,,
Caffe Americano,$1.65,$1.95,$2.30,$2.95,$3.45,$3.65,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Caffe Latte,$2.30,$2.85,$3.25,$3.45,$4.25,$4.95,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Caramel Macchiato,$2.65,$3.20,$3.50,$3.75,$4.45,$4.95,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Caffe Mocha,$2.50,$3.05,$3.50,$4.15,$4.65,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,
Iced White Chocolate Mocha,$3.00,$3.55,$4.00,$4.65,$4.95,$5.65,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Caffe Americano,$1.65,$1.95,$2.30,$2.95,$3.45,$3.65,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,$2.55,$3.05,$3.55,$2.25,$2.65,$2.95,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel Frappuccino,$3.05,$3.55,$4.05,$4.45,$4.95,$5.45,,,,,,,,,,,,,,,,,,,,,,,,,
Tazo Hot Tea,$1.15,$1.65,$1.65,$2.45,$2.75,$2.95,,,,,,,,,,,,,,,,,,,,,,,,,
Tazo Chai,$2.60,$2.85,$3.10,$2.45,$2.75,$2.95,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Chocolate,$2.10,$2.35,$2.60,$2.95,$3.45,$3.65,,,,,,,,,,,,,,,,,,,,,,,,,
Iced Tazo Chai,$2.60,$2.85,$3.25,$2.45,$2.75,$2.95,,,,,,,,,,,,,,,,,,,,,,,,,
Tazo Iced Tea,$1.20,$1.35,$1.65,$2.45,$2.75,$2.95,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
